drug_name	annotation_source	analysis_date	annotation_scope	n_pairs	pair_list	n_target_genes_total	target_gene_list	approved_drug_annotation	interpretation_boundary
SUNITINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	5	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	2	IL4R;SLC22A5	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ESTRADIOL 3-BENZOATE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	4	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	1	CAMK4	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
IRINOTECAN HYDROCHLORIDE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	4	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	1	RAD50	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ACETYLGLUCOSAMINE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	3	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	1	NAGLU	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
DUPILUMAB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	3	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	1	IL4R	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
PEGINTERFERON ALFA-2B	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	3	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA	2	IL21R;JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
PEMBROLIZUMAB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	3	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	2	CD274;JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
TOFACITINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	3	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	2	CTSS;JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ALFENTANIL HYDROCHLORIDE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ALPRAZOLAM	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	1	ARNT	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
BARICITINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
BINIMETINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
BREXANOLONE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	2	ARNT;ARRB2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
CLONAZEPAM	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	1	ARNT	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
CRIZOTINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
DASATINIB ANHYDROUS	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
DIAZEPAM	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	1	ARNT	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ENTRECTINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ERLOTINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
FEDRATINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
FEDRATINIB HYDROCHLORIDE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
FILGOTINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
FILGOTINIB MALEATE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
FLUMAZENIL	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	2	ARNT;ARRB2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
FLUNITRAZEPAM	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	1	ARNT	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
GILTERITINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
HYDROCORTISONE BUTYRATE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	1	ARNT	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
HYDROXYUREA	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
IMATINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
MOMELOTINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
OLAPARIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
PACLITAXEL	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
PACRITINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
PACRITINIB CITRATE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
PEFICITINIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
RIBOCICLIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
RITUXIMAB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ROPEGINTERFERON ALFA-2B	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
RUXOLITINIB PHOSPHATE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
SIROLIMUS	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
TAMOXIFEN	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__K11_IBD_STRICT	2	NCOA1;PLD2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
TRIAMTERENE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
TRIAZOLAM	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	1	ARNT	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
UPADACITINIB HEMIHYDRATE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	JAK2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ZOLPIDEM TARTRATE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	2	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	1	ARNT	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ACENOCOUMAROL	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	2	STX4;VKORC1	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
AMILORIDE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	1	ARRB2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ASPIRIN	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA	1	FCER1G	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ATEZOLIZUMAB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	1	CD274	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
AVELUMAB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	1	CD274	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
BENZYLPENICILLOYL POLYLYSINE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA	1	FCER1G	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
BORTEZOMIB D-MANNITOL	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	1	PSMB6	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
BUPRENORPHINE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	1	ARRB2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
CARFILZOMIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	1	PSMB6	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
CEMIPLIMAB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	1	CD274	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
CENOBAMATE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	1	ARRB2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
CHOLIC ACID	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	1	HSD3B7	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
CLOFARABINE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	PRIM1	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
DICUMAROL	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	1	VKORC1	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
DURVALUMAB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	1	CD274	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
ETOPOSIDE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__K11_IBD_STRICT	1	NCOA1	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
FENTANYL CITRATE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	1	ARRB2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
FLUDARABINE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	1	PRIM1	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
FUROSEMIDE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	1	ARRB2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
IPILIMUMAB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	1	CD274	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
IXAZOMIB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	1	PSMB6	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
IXAZOMIB CITRATE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	1	PSMB6	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
METHAMPHETAMINE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	1	ARRB2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
METHYLENE BLUE ANHYDROUS	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__K11_IBD_STRICT	1	NCOA1	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
NIVOLUMAB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	1	CD274	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
PEMETREXED DISODIUM	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	1	CD274	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
PHENINDIONE	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	1	VKORC1	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
PHENPROCOUMON	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	2	STX4;VKORC1	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
RIBAVIRIN	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA	1	IL21R	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
TEZEPELUMAB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	1	TSLP	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
TRAMADOL	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	1	ARRB2	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
TREMELIMUMAB	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	1	CD274	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
VITAMIN K3	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	1	VKORC1	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
WARFARIN	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	4	PRSS53;STX1B;STX4;VKORC1	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
WARFARIN POTASSIUM	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	1	VKORC1	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
WARFARIN SODIUM	DGIdb GraphQL API	2026-06-05	Gene-A or Gene-B prioritized targets	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	1	VKORC1	True	Exploratory target annotation; does not imply therapeutic efficacy or clinical indication for nasal disease.
