gene_symbol	n_pair_gene_records	n_pair_definitions	n_phenotype_domains	pair_list	phenotype_domain_list	n_GeneA_records	n_GeneB_records	strict_positive_record_count	best_tissue_list	min_best_twas_p	min_best_twas_fdr
ICE2	4	4	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC	asthma_lower_airway;atopic_allergic	1	3	4	Testis	0.00101	0.00303
KIAA1109	4	4	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	asthma_lower_airway;atopic_allergic	0	4	4	Adrenal_Gland	1.14e-12	4.56e-12
NREP	4	4	1	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	asthma_lower_airway	4	0	4	Vagina	0.00301	0.0042933333333333
RAD50	4	4	1	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	asthma_lower_airway	1	3	4	Esophagus_Mucosa	7.34e-12	3.303000000000001e-11
TNIP3	4	4	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	asthma_lower_airway;atopic_allergic	0	4	4	Whole_Blood	0.00854	0.01708
UHRF2	4	4	2	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	ENT_infection;asthma_lower_airway	2	2	4	Prostate	0.000366	0.000732
ATP6V0A1	3	3	1	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	atopic_allergic	0	3	3	Skin_Sun_Exposed_Lower_leg	0.00729	0.02187
COASY	3	3	1	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	atopic_allergic	0	3	3	Colon_Sigmoid	0.000254	0.0008656666666666
GNB1L	3	3	1	NASAL_POLYPS_GCST90018883__H8_EUSTSALP;NASAL_POLYPS_GCST90018883__H8_MIDDLEMASTOID;NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	ENT_infection	1	2	0	Brain_Nucleus_accumbens_basal_ganglia	0.0158	0.0158
IL4R	3	3	1	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	asthma_lower_airway	0	3	3	Adrenal_Gland	0.000362	0.0012066666666666
NAGLU	3	3	1	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	atopic_allergic	0	3	3	Artery_Coronary	8.02e-06	4.009999999999999e-05
PTRF	3	3	1	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	atopic_allergic	0	3	3	Esophagus_Muscularis	2.51e-05	0.0002100999999999
